,Champion,Date,Days,Days recog.,Defences,Defenses,Event,Location,No.,Notes,Promotion,Ref.,Reign,Title_Name,Unnamed: 10_level_1,Unnamed: 9_level_1
197,Shawn Stasiak,"July 14, 2002",0,,,,House show,"Bethlehem, Pennsylvania",197,,WWE,,7,Hardcore_Championship,,
198,Bradshaw,"July 14, 2002",1,,,,House show,"Bethlehem, Pennsylvania",198,,WWE,,10,Hardcore_Championship,,
199,Johnny Stamboli,"July 15, 2002",0,,,,Raw,"East Rutherford, New Jersey",199,Pinned Bradshaw during a title defense against Christopher Nowinski.,WWE,,1,Hardcore_Championship,,
200,Bradshaw,"July 15, 2002",7,,,,Raw,"East Rutherford, New Jersey",200,"Pinned Johnny Stamboli in the backstage area, renaming the belt the WWE Texas Hardcore Championship for the duration of his reign.",WWE,,11,Hardcore_Championship,,
201,Johnny Stamboli,"July 22, 2002",0,,,,Raw,"Grand Rapids, Michigan",201,,WWE,,2,Hardcore_Championship,,
202,Bradshaw,"July 22, 2002",4,,,,Raw,"Grand Rapids, Michigan",202,,WWE,,12,Hardcore_Championship,,
203,Raven,"July 26, 2002",0,,,,House show,"Houston, Texas",203,,WWE,,24,Hardcore_Championship,,
204,Justin Credible,"July 26, 2002",0,,,,House show,"Houston, Texas",204,,WWE,,6,Hardcore_Championship,,
205,Shawn Stasiak,"July 26, 2002",0,,,,House show,"Houston, Texas",205,,WWE,,8,Hardcore_Championship,,
206,Bradshaw,"July 26, 2002",1,,,,House show,"Houston, Texas",206,,WWE,,13,Hardcore_Championship,,
207,Raven,"July 27, 2002",0,,,,House show,"San Antonio, Texas",207,,WWE,,25,Hardcore_Championship,,
208,Justin Credible,"July 27, 2002",0,,,,House show,"San Antonio, Texas",208,,WWE,,7,Hardcore_Championship,,
209,Shawn Stasiak,"July 27, 2002",0,,,,House show,"San Antonio, Texas",209,,WWE,,9,Hardcore_Championship,,
210,Bradshaw,"July 27, 2002",1,,,,House show,"San Antonio, Texas",210,,WWE,,14,Hardcore_Championship,,
211,Raven,"July 28, 2002",0,,,,House show,"Columbia, South Carolina",211,,WWE,,26,Hardcore_Championship,,
212,Justin Credible,"July 28, 2002",0,,,,House show,"Columbia, South Carolina",212,,WWE,,8,Hardcore_Championship,,
213,Shawn Stasiak,"July 28, 2002",0,,,,House show,"Columbia, South Carolina",213,,WWE,,10,Hardcore_Championship,,
214,Bradshaw,"July 28, 2002",1,,,,House show,"Columbia, South Carolina",214,,WWE,,15,Hardcore_Championship,,
215,Jeff Hardy,"July 29, 2002",0,,,,Raw,"Greensboro, North Carolina",215,,WWE,,3,Hardcore_Championship,,
216,Johnny Stamboli,"July 29, 2002",0,,,,Raw,"Greensboro, North Carolina",216,,WWE,,3,Hardcore_Championship,,
217,Tommy Dreamer,"July 29, 2002",5,,,,Raw,"Greensboro, North Carolina",217,,WWE,,6,Hardcore_Championship,,
218,Bradshaw,"August 3, 2002",0,,,,House show,"Miami, Florida",218,,WWE,,16,Hardcore_Championship,,
219,Tommy Dreamer,"August 3, 2002",1,,,,House show,"Miami, Florida",219,,WWE,,7,Hardcore_Championship,,
220,Bradshaw,"August 4, 2002",0,,,,House show,"Pittsburgh, Pennsylvania",220,,WWE,,17,Hardcore_Championship,,
221,Tommy Dreamer,"August 4, 2002",5,,,,House show,"Pittsburgh, Pennsylvania",221,,WWE,,8,Hardcore_Championship,,
222,Shawn Stasiak,"August 9, 2002",0,,,,House show,"Kelowna, British Columbia",222,,WWE,,11,Hardcore_Championship,,
223,Steven Richards,"August 9, 2002",0,,,,House show,"Kelowna, British Columbia",223,,WWE,,18,Hardcore_Championship,,
224,Tommy Dreamer,"August 9, 2002",1,,,,House show,"Kelowna, British Columbia",224,,WWE,,9,Hardcore_Championship,,
225,Shawn Stasiak,"August 10, 2002",0,,,,House show,"Kamloops, British Columbia",225,,WWE,,12,Hardcore_Championship,,
226,Steven Richards,"August 10, 2002",0,,,,House show,"Kamloops, British Columbia",226,,WWE,,19,Hardcore_Championship,,
227,Tommy Dreamer,"August 10, 2002",1,,,,House show,"Kamloops, British Columbia",227,,WWE,,10,Hardcore_Championship,,
228,Shawn Stasiak,"August 11, 2002",0,,,,House show,"Vancouver, British Columbia",228,,WWE,,13,Hardcore_Championship,,
229,Steven Richards,"August 11, 2002",0,,,,House show,"Vancouver, British Columbia",229,,WWE,,20,Hardcore_Championship,,
230,Tommy Dreamer,"August 11, 2002",6,,,,House show,"Vancouver, British Columbia",230,,WWE,,11,Hardcore_Championship,,
231,Raven,"August 17, 2002",0,,,,House show,"Terre Haute, Indiana",231,,WWE,,27,Hardcore_Championship,,
232,Shawn Stasiak,"August 17, 2002",0,,,,House show,"Terre Haute, Indiana",232,,WWE,,14,Hardcore_Championship,,
233,Tommy Dreamer,"August 17, 2002",1,,,,House show,"Terre Haute, Indiana",233,,WWE,,12,Hardcore_Championship,,
234,Shawn Stasiak,"August 18, 2002",0,,,,House show,"Evansville, Indiana",234,,WWE,,15,Hardcore_Championship,,
235,Steven Richards,"August 18, 2002",0,,,,House show,"Evansville, Indiana",235,,WWE,,21,Hardcore_Championship,,
236,Tommy Dreamer,"August 18, 2002",1,,,,House show,"Evansville, Indiana",236,,WWE,,13,Hardcore_Championship,,
237,Bradshaw,"August 19, 2002",0,,,,Raw,"Norfolk, Virginia",237,Won during hardcore battle royal.,WWE,,18,Hardcore_Championship,,
238,Crash Holly,"August 19, 2002",0,,,,Raw,"Norfolk, Virginia",238,Won during hardcore battle royal.,WWE,,22,Hardcore_Championship,,
239,Tommy Dreamer,"August 19, 2002",7,,,,Raw,"Norfolk, Virginia",239,"Won during hardcore battle royal.The 24/7 rule was deactivated on August 19, 2002.[1]",WWE,,14,Hardcore_Championship,,
240,Rob Van Dam,"August 26, 2002",0,,,,Raw,"New York, New York",240,,WWE,,4,Hardcore_Championship,,
241,Unified,"August 26, 2002",—,,,,Raw,"New York, New York",—,"Upon Van Dam's victory, the title was unified with the WWE Intercontinental Championship.",WWE,[2],—,Hardcore_Championship,,
0,World Championship Wrestling (WCW),World Championship Wrestling (WCW),World Championship Wrestling (WCW),World Championship Wrestling (WCW),,,World Championship Wrestling (WCW),World Championship Wrestling (WCW),World Championship Wrestling (WCW),World Championship Wrestling (WCW),WWE,World Championship Wrestling (WCW),World Championship Wrestling (WCW),Cruiserweight_Championship,World Championship Wrestling (WCW),
1,Shinjiro Otani,"March 20, 1996",43,42,,,Hyper Battle 1996,"Nagoya, Japan",1,Otani defeated Wild Pegasus in tournament final to determine the first WCW Cruiserweight Champion.This was a New Japan Pro-Wrestling event.,WWE,[2][3],1,Cruiserweight_Championship,,
2,Dean Malenko,"May 2, 1996",67,66,,,WorldWide,"Lake Buena Vista, FL",2,Aired on May 18 on tape delay.,WWE,[4][5],1,Cruiserweight_Championship,,
3,Rey Mysterio Jr.,"July 8, 1996",111,110,,,Monday Nitro,"Lake Buena Vista, FL",3,,WWE,[6],1,Cruiserweight_Championship,,
4,Dean Malenko,"October 27, 1996",63,62,,,Halloween Havoc,"Las Vegas, NV",4,,WWE,[4][7],2,Cruiserweight_Championship,,
5,Último Dragón,"December 29, 1996",23,23,,,Starrcade,"Nashville, TN",5,This match was also for Dragon's J-Crown.WWE recognizes Dragón's reign as lasting 24 days.,WWE,[4][8],1,Cruiserweight_Championship,,
6,Dean Malenko,"January 21, 1997",33,32,,,Clash of the Champions XXXIV,"Milwaukee, WI",6,,WWE,[4],3,Cruiserweight_Championship,,
7,Syxx,"February 23, 1997",125,123,,,SuperBrawl VII,"Daly City, CA",7,,WWE,[9][10],1,Cruiserweight_Championship,,
8,Chris Jericho,"June 28, 1997",30,29,,,Saturday Nitro[5],"Inglewood, CA",8,Jericho won the match at a house show that was broadcast over the Internet as Saturday Nitro.,WWE,[4][5],1,Cruiserweight_Championship,,
9,Alex Wright,"July 28, 1997",15,18,,,Monday Nitro,"Charleston, WV",9,,WWE,[4][11],1,Cruiserweight_Championship,,
10,Chris Jericho,"August 12, 1997",33,28,,,Saturday Night,"Colorado Springs, CO",10,Aired on August 16 on tape delay.,WWE,[4],2,Cruiserweight_Championship,,
11,Eddie Guerrero,"September 14, 1997",42,41,,,Fall Brawl,"Winston-Salem, NC",11,,WWE,[12],1,Cruiserweight_Championship,,
12,Rey Mysterio Jr.,"October 26, 1997",15,14,,,Halloween Havoc,"Las Vegas, NV",12,This was a Mask vs. Title match.,WWE,[4][13],2,Cruiserweight_Championship,,
13,Eddie Guerrero,"November 10, 1997",49,48,,,Monday Nitro,"Memphis, TN",13,,WWE,[4][11],2,Cruiserweight_Championship,,
14,Último Dragón,"December 29, 1997",10,9,,,Monday Nitro,"Baltimore, MD",14,,WWE,[4][11],2,Cruiserweight_Championship,,
15,Juventud Guerrera,"January 8, 1998",7,6,,,Thunder,"Daytona Beach, FL",15,,WWE,[4][14],1,Cruiserweight_Championship,,
16,Rey Mysterio Jr.,"January 15, 1998",9,8,,,Thunder,"Lakeland, FL",16,,WWE,[4][14],3,Cruiserweight_Championship,,
17,Chris Jericho,"January 24, 1998",113,143,,,Souled Out,"Dayton, OH",17,,WWE,[15],3,Cruiserweight_Championship,,
18,Dean Malenko,"May 17, 1998",25,25,,,Slamboree,"Worcester, MA",18,"Malenko won a battle royal earlier in the night, wearing a mask as Ciclope, to earn a title shot.WWE recognizes Malenko's reign as lasting 26 days.",WWE,[16],4,Cruiserweight_Championship,,
19,Vacated,"June 11, 1998",—,—,,,Thunder,"Buffalo, NY",—,The championship was vacated due to Dean Malenko not earning the title shot as himself.,WWE,[1][16],—,Cruiserweight_Championship,,
20,Chris Jericho,"June 14, 1998",55,55,,,The Great American Bash,"Baltimore, MD",19,"Jericho defeated Dean Malenko by disqualification.[17] On July 12 at Bash at the Beach, Rey Misterio Jr. defeated Jericho for the title due to interference from Malenko; Jericho was returned the title the following night.WWE recognizes Jericho's reign as lasting 56 days.",WWE,[1],4,Cruiserweight_Championship,,
21,Juventud Guerrera,"August 8, 1998",37,36,,,Road Wild,"Sturgis, SD",20,Dean Malenko was the special guest referee.,WWE,[4][18],2,Cruiserweight_Championship,,
22,Billy Kidman,"September 14, 1998",63,62,,,Monday Nitro,"Greenville, SC",21,,WWE,[4][19],1,Cruiserweight_Championship,,
23,Juventud Guerrera,"November 16, 1998",6,5,,,Monday Nitro,"Wichita, KS",22,,WWE,[4][19],3,Cruiserweight_Championship,,
24,Billy Kidman,"November 22, 1998",113,112,,,World War 3,"Auburn Hills, MI",23,,WWE,[4][20],2,Cruiserweight_Championship,,
25,Rey Mysterio Jr.,"March 15, 1999",35,34,,,Monday Nitro,"Cincinnati, OH",24,,WWE,[4][21],4,Cruiserweight_Championship,,
26,Psychosis,"April 19, 1999",7,6,,,Monday Nitro,"Gainesville, FL",25,This was a four-way match also involving Blitzkrieg and Juventud Guerrera.,WWE,[4][21],1,Cruiserweight_Championship,,
27,Rey Mysterio Jr.,"April 26, 1999",115,114,,,Monday Nitro,"Fargo, ND",26,,WWE,[4][21],5,Cruiserweight_Championship,,
28,Lenny Lane,"August 19, 1999",46,45,,,Thunder,"Lubbock, TX",27,,WWE,[22][23],1,Cruiserweight_Championship,,
29,Vacated,"October 4, 1999",—,—,,,—,—,—,The championship was vacated due to Lenny Lane being stripped of the title after Turner Broadcasting did not approve of the publicity garnered through Lane's homosexual gimmick.[24],WWE,[22],—,Cruiserweight_Championship,,
30,Psychosis,"October 4, 1999",<1,<1,,,Monday Nitro,"Kansas City, MO",28,Psychosis was awarded the title after the West Hollywood Blonde's angle was dropped.[25],WWE,[21][22],2,Cruiserweight_Championship,,
31,Disco Inferno,"October 4, 1999",48,48,,,Monday Nitro,"Kansas City, MO",29,WWE recognizes Inferno's reign as lasting 49 days.,WWE,[21][26],1,Cruiserweight_Championship,,
32,Evan Karagias,"November 21, 1999",28,27,,,Mayhem,"Toronto, ON",30,,WWE,[4][27],1,Cruiserweight_Championship,,
33,Madusa,"December 19, 1999",28,27,,,Starrcade,"Washington, D.C.",31,Became the first female Cruiserweight Champion.,WWE,[28],1,Cruiserweight_Championship,,
34,Oklahoma,"January 16, 2000",2,1,,,Souled Out,"Cincinnati, OH",32,,WWE,[4][29],1,Cruiserweight_Championship,,
35,Vacated,"January 18, 2000",—,—,,,Thunder,"Evansville, IN",—,The championship was vacated due to Oklahoma exceeding the weight limit. Aired on January 19 on tape delay.,WWE,[1][30],—,Cruiserweight_Championship,,
36,The Artist,"February 20, 2000",39,38,,,SuperBrawl 2000,"Daly City, CA",33,The Artist defeated Lash LeRoux in a tournament final to win the vacant championship.,WWE,[4][31][32],1,Cruiserweight_Championship,,
37,Billy Kidman,"March 30, 2000",1,<1,,,House show,"Baltimore, MD",34,,WWE,[4],3,Cruiserweight_Championship,,
38,The Artist,"March 31, 2000",10,9,,,House show,"Pittsburgh, PA",35,,WWE,[33],2,Cruiserweight_Championship,,
39,Vacated,"April 10, 2000",—,—,,,Monday Nitro,"Denver, CO",—,"The championship was vacated by Eric Bischoff and Vince Russo, along with all other WCW titles.",WWE,[1][33],—,Cruiserweight_Championship,,
40,Chris Candido,"April 16, 2000",29,28,,,Spring Stampede,"Chicago, IL",36,"Candido defeated The Artist, Juventud Guerrera, Shannon Moore, Lash LeRoux and Crowbar in a six-way match to win the vacant championship.",WWE,[34],1,Cruiserweight_Championship,,
41,Crowbar and Daffney,"May 15, 2000",7,6,,,Monday Nitro,"Biloxi, MS",37,Crowbar and Daffney defeated Chris Candido and Tammy Lynn Sytch in a mixed tag team match to become co-champions.,WWE,[35][36],1,Cruiserweight_Championship,,
42,Daffney,"May 22, 2000",15,14,,,Monday Nitro,"Grand Rapids, MI",38,Daffney defeated Crowbar to become undisputed champion and second female to win the title.,WWE,[35][36],1,Cruiserweight_Championship,,
43,Lieutenant Loco,"June 6, 2000",55,54,,,Thunder,"Knoxville, TN",39,This was a three-way match also involving Disco Inferno. Aired on June 7 on tape delay.,WWE,[1],1,Cruiserweight_Championship,,
44,Lance Storm,"July 31, 2000",14,13,,,Monday Nitro,"Cincinnati, OH",40,"Storm simultaneously held WCW Cruiserweight, United States Heavyweight and Hardcore Championships.",WWE,[4][36],1,Cruiserweight_Championship,,
45,Elix Skipper,"August 14, 2000",49,48,,,Monday Nitro,"Kelowna, BC",41,"Skipper was awarded the title by his Team Canada partner Lance Storm, who called it the ""101 KG and Under Championship"".",WWE,[37],1,Cruiserweight_Championship,,
46,Mike Sanders,"October 2, 2000",63,62,,,Monday Nitro,"Daly City, CA",42,Sanders and Kevin Nash defeated Skipper in a Handicap Powerbomb match.,WWE,[4][36][38],1,Cruiserweight_Championship,,
47,Chavo Guerrero Jr.,"December 4, 2000",104,103,,,Thunder,"Lincoln, NE",43,Formerly known as Lieutenant Loco.Aired on December 6 on tape delay.,WWE,[4],2,Cruiserweight_Championship,,
48,Shane Helms,"March 18, 2001",107,108,,,Greed,"Jacksonville, FL",44,WCW was purchased by the World Wrestling Federation later that month.WWE recognizes Helms's reign as lasting 109 days.,WWE,[4][39],1,Cruiserweight_Championship,,
49,World Wrestling Federation (WWF),World Wrestling Federation (WWF),World Wrestling Federation (WWF),World Wrestling Federation (WWF),,,World Wrestling Federation (WWF),World Wrestling Federation (WWF),World Wrestling Federation (WWF),World Wrestling Federation (WWF),WWE,World Wrestling Federation (WWF),World Wrestling Federation (WWF),Cruiserweight_Championship,World Wrestling Federation (WWF),
50,Billy Kidman,"July 3, 2001",27,24,,,SmackDown!,"Tacoma, WA",45,Aired July 5 on tape delay.This was the first title change in the WWF.,WWE,[40],4,Cruiserweight_Championship,,
51,X-Pac,"July 30, 2001",71,72,,,Raw is War,"Philadelphia, PA",46,Formerly known as SyxxX-Pac's WWF Light Heavyweight Championship was also on the line.WWE recognizes X-Pac's reign as lasting 73 days.,WWE,[41],2,Cruiserweight_Championship,,
52,Billy Kidman,"October 9, 2001",13,10,,,SmackDown!,"Moline, IL",47,Aired on October 11 on tape delay.,WWE,[42],5,Cruiserweight_Championship,,
53,Tajiri,"October 22, 2001",162,163,,,Raw,"Kansas City, MO",48,"The title became the WWF Cruiserweight Championship when the WWF defeated The Alliance at Survivor Series on November 18 and replaced the WWF Light Heavyweight Championship. The title became exclusive to SmackDown! on March 25, 2002.",WWE,[43],1,Cruiserweight_Championship,,
54,World Wrestling Federation: SmackDown,World Wrestling Federation: SmackDown,World Wrestling Federation: SmackDown,World Wrestling Federation: SmackDown,,,World Wrestling Federation: SmackDown,World Wrestling Federation: SmackDown,World Wrestling Federation: SmackDown,World Wrestling Federation: SmackDown,WWE,World Wrestling Federation: SmackDown,World Wrestling Federation: SmackDown,Cruiserweight_Championship,World Wrestling Federation: SmackDown,
55,Billy Kidman,"April 2, 2002",19,16,,,SmackDown!,"Rochester, NY",49,Aired on April 4 on tape delay.,WWE,[44],6,Cruiserweight_Championship,,
56,Tajiri,"April 21, 2002",23,24,,,Backlash,"Kansas City, MO",50,The title became the WWE Cruiserweight Championship on May 5 when the WWF became World Wrestling Entertainment.,WWE,[45],2,Cruiserweight_Championship,,
57,World Wrestling Entertainment: SmackDown,World Wrestling Entertainment: SmackDown,World Wrestling Entertainment: SmackDown,World Wrestling Entertainment: SmackDown,,,World Wrestling Entertainment: SmackDown,World Wrestling Entertainment: SmackDown,World Wrestling Entertainment: SmackDown,World Wrestling Entertainment: SmackDown,WWE,World Wrestling Entertainment: SmackDown,World Wrestling Entertainment: SmackDown,Cruiserweight_Championship,World Wrestling Entertainment: SmackDown,
58,The Hurricane,"May 14, 2002",40,37,,,SmackDown!,"Montreal, QC",51,"Formerly known as Shane HelmsThis was a triple threat match that aired on May 16 on tape delay, also involving Billy Kidman.WWE recognizes The Hurricane's reign as lasting 38 days.",WWE,[46],2,Cruiserweight_Championship,,
59,Jamie Noble,"June 23, 2002",147,146,,,King of the Ring,"Columbus, OH",52,,WWE,[47],1,Cruiserweight_Championship,,
60,Billy Kidman,"November 17, 2002",98,97,,,Survivor Series,"New York, NY",53,,WWE,[48],7,Cruiserweight_Championship,,
61,Matt Hardy,"February 23, 2003",100,101,,,No Way Out,"Montreal, QC",54,,WWE,[49],1,Cruiserweight_Championship,,
62,Rey Mysterio,"June 3, 2003",112,111,,,SmackDown!,"Anaheim, CA",55,Formerly known as Rey Misterio JrAired on June 5 on tape delay.,WWE,[50],6,Cruiserweight_Championship,,
63,Tajiri,"September 23, 2003",98,97,,,SmackDown!,"Philadelphia, PA",56,Aired on September 25 on tape delay.,WWE,[51],3,Cruiserweight_Championship,,
64,Rey Mysterio,"December 30, 2003",47,44,,,SmackDown!,"Laredo, TX",57,"Aired on January 1, 2004 on tape delay.",WWE,[52],7,Cruiserweight_Championship,,
65,Chavo Guerrero,"February 15, 2004",79,80,,,No Way Out,"Daly City, CA",58,Formerly known as Chavo Guerrero Jr.,WWE,[53],3,Cruiserweight_Championship,,
66,Jacqueline,"May 4, 2004",12,9,,,SmackDown!,"Tucson, AZ",59,Jacqueline answered an open challenge; became the third female to win the title. Aired on May 6 on tape delay.,WWE,[54],1,Cruiserweight_Championship,,
67,Chavo Guerrero,"May 16, 2004",2,3,,,Judgment Day,"Los Angeles, CA",60,"Guerrero won the championship with one hand tied behind his back, though his father Chavo Classic untied it during the match.",WWE,[55],4,Cruiserweight_Championship,,
68,Chavo Classic,"May 18, 2004",28,27,,,SmackDown!,"Las Vegas, NV",61,"This was a triple threat match also involving Spike Dudley, which aired on May 20 on tape delay.",WWE,[56],1,Cruiserweight_Championship,,
69,Rey Mysterio,"June 15, 2004",42,41,,,SmackDown!,"Chicago, IL",62,Aired on June 17 on tape delay.,WWE,[57],8,Cruiserweight_Championship,,
70,Spike Dudley,"July 27, 2004",138,135,,,SmackDown!,"Cincinnati, OH",63,Aired on July 29 on tape delay.,WWE,[58],1,Cruiserweight_Championship,,
71,Funaki,"December 12, 2004",70,69,,,Armageddon,"Atlanta, GA",64,,WWE,[59],1,Cruiserweight_Championship,,
72,Chavo Guerrero,"February 20, 2005",37,38,,,No Way Out,"Pittsburgh, PA",65,"This was a six-man Cruiserweight Open, also involving Akio, Paul London, Shannon Moore and Spike Dudley.",WWE,[60],5,Cruiserweight_Championship,,
73,Paul London,"March 29, 2005",126,127,,,SmackDown!,"Houston, TX",66,This was an eight-man battle royal. Aired on March 31 on tape delay.,WWE,[61],1,Cruiserweight_Championship,,
74,Nunzio,"August 2, 2005",68,63,,,Velocity,"Bridgeport, CT",67,,WWE,[62],1,Cruiserweight_Championship,,
75,Juventud,"October 9, 2005",37,36,,,No Mercy,"Houston, TX",68,Formerly known as Juventud Guerrera,WWE,[63],4,Cruiserweight_Championship,,
76,Nunzio,"November 15, 2005",7,9,,,House show,"Rome, Italy",69,,WWE,[64],2,Cruiserweight_Championship,,
77,Juventud,"November 22, 2005",26,22,,,SmackDown!,"Sheffield, England",70,Aired on November 25 on tape delay.,WWE,[1][65],5,Cruiserweight_Championship,,
78,Kid Kash,"December 18, 2005",42,41,,,Armageddon,"Providence, RI",71,,WWE,[66],1,Cruiserweight_Championship,,
79,Gregory Helms,"January 29, 2006",385,384,,,Royal Rumble,"Miami, FL",72,"Formerly known as The HurricaneThis was a six-man Cruiserweight Open also involving Funaki, Jamie Noble, Nunzio, Paul London, and Kid Kash. Helms, who was on the Raw roster at that time, moved to SmackDown! after winning the championship.",WWE,[67],3,Cruiserweight_Championship,,
80,Chavo Guerrero,"February 18, 2007",154,153,,,No Way Out,"Los Angeles, CA",73,"This was an 8-man Cruiserweight Open, also involving Daivari, Shannon Moore, Funaki, Jamie Noble, Jimmy Wang Yang and Scotty 2 Hotty.",WWE,[68],6,Cruiserweight_Championship,,
81,Hornswoggle,"July 22, 2007",65,68,,,The Great American Bash,"San Jose, CA",74,"This was a six-man Cruiserweight Open also involving Jimmy Wang Yang, Shannon Moore, Funaki and Jamie Noble.",WWE,[69],1,Cruiserweight_Championship,,
82,Deactivated,"September 25, 2007",—,—,,,SmackDown!,"Indianapolis, IN",—,"The championship was vacated on the September 25, 2007 edition of SmackDown! (aired September 28 on tape delay) by acting General Manager Vickie Guerrero, citing that Hornswoggle's status as Mr. McMahon's son and his diminutive stature would eventually jeopardize his well-being. The title was then retired without an official announcement. A new WWE Cruiserweight Championship was introduced in September 2016, but despite sharing a name with this title, it does not share its lineage, before being renamed as NXT Cruiserweight Championship.",WWE,,—,Cruiserweight_Championship,,
0,National Wrestling Alliance (NWA): World Championship Wrestling (WCW),National Wrestling Alliance (NWA): World Championship Wrestling (WCW),National Wrestling Alliance (NWA): World Championship Wrestling (WCW),,,,National Wrestling Alliance (NWA): World Championship Wrestling (WCW),National Wrestling Alliance (NWA): World Championship Wrestling (WCW),National Wrestling Alliance (NWA): World Championship Wrestling (WCW),National Wrestling Alliance (NWA): World Championship Wrestling (WCW),WWE,National Wrestling Alliance (NWA): World Championship Wrestling (WCW),National Wrestling Alliance (NWA): World Championship Wrestling (WCW),WCW_World_Heavyweight_Championship,National Wrestling Alliance (NWA): World Championship Wrestling (WCW),National Wrestling Alliance (NWA): World Championship Wrestling (WCW)
1,Ric Flair,"January 11, 1991",171,,,,House show,"East Rutherford, New Jersey",1,Defeated Sting for the NWA World Heavyweight Championship. WCW began recognizing Flair as WCW World Heavyweight Champion while still using the NWA belt (i.e. the Big Gold Belt).WWE recognizes this reign as an NWA world title reign for Flair's 16 world championships (and not a WCW one).,WWE,[3][4],1,WCW_World_Heavyweight_Championship,,
2,Vacated,"July 1, 1991",—,,,,—,—,—,"Ric Flair left for the World Wrestling Federation (WWF) and was stripped of the title. When Flair left, he took the Big Gold Belt, which represented the NWA and WCW world titles, with him.",WWE,[3][4],—,WCW_World_Heavyweight_Championship,,
3,Lex Luger,"July 14, 1991",230,,,,The Great American Bash,"Baltimore, Maryland",2,"Luger was originally the number one contender to face Ric Flair, but after Flair left WCW for the WWF and the title declared vacant, Barry Windham was named the number two contender. Luger defeated Windham in a steel cage match for the vacant title. A new WCW World Heavyweight Championship belt was created and awarded to Luger.",WWE,[3][4],1,WCW_World_Heavyweight_Championship,,
4,Sting,"February 29, 1992",134,,,,SuperBrawl II,"Milwaukee, Wisconsin",3,,WWE,[5][6][3][4],1,WCW_World_Heavyweight_Championship,,
5,Big Van Vader,"July 12, 1992",21,,,,The Great American Bash,"Albany, Georgia",4,,WWE,[7][8][3][4],1,WCW_World_Heavyweight_Championship,,
6,Ron Simmons,"August 2, 1992",150,,,,Main Event,"Baltimore, Maryland",5,"Due to injury, Sting was unable to have a rematch with Vader, so a raffle was done to take Sting's place as the number one contender. Ron Simmons won the raffle and with this win, WWE recognizes him as the first African-American to win a professional wrestling world championship.Aired on tape delay on August 16, 1992.",WWE,[9][3][4][10],1,WCW_World_Heavyweight_Championship,,
7,Big Van Vader,"December 30, 1992",71,,,,House show,"Baltimore, Maryland",6,,WWE,[2][11][3][4],2,WCW_World_Heavyweight_Championship,,
8,Sting,"March 11, 1993",6,,,,House show,"London, England",7,,WWE,[2][12][3][4],2,WCW_World_Heavyweight_Championship,,
9,Big Van Vader,"March 17, 1993",285,,,,House show,"Dublin, Ireland",8,"During this reign in September 1993, WCW conclusively left the NWA and created a fictitious subsidiary called WCW International. Ric Flair, who had returned to WCW and won the NWA World Heavyweight Championship, was recognized as the inaugural WCW International World Heavyweight Champion.",WWE,[2][13][3][4],3,WCW_World_Heavyweight_Championship,,
10,World Championship Wrestling (WCW),World Championship Wrestling (WCW),World Championship Wrestling (WCW),,,,World Championship Wrestling (WCW),World Championship Wrestling (WCW),World Championship Wrestling (WCW),World Championship Wrestling (WCW),WWE,World Championship Wrestling (WCW),World Championship Wrestling (WCW),WCW_World_Heavyweight_Championship,World Championship Wrestling (WCW),World Championship Wrestling (WCW)
11,Ric Flair,"December 27, 1993",111,,,,Starrcade: 10th Anniversary,"Charlotte, North Carolina",9,This was a title vs. career match.,WWE,[14][15][4][3],2,WCW_World_Heavyweight_Championship,,
12,Vacated,"April 17, 1994",—,,,,Spring Stampede,"Chicago, Illinois",—,"A title match between Ric Flair and Ricky Steamboat ended in a double pin, which resulted in the title being vacated.This vacancy was recognized by WCW, but is not recognized by WWE.",WWE,[3][4],—,WCW_World_Heavyweight_Championship,,
13,Ric Flair,"April 21, 1994",87,,,,Saturday Night,"Atlanta, Georgia",10,"Flair defeated Ricky Steamboat in a rematch for the vacant title.During this reign in June 1994, Flair unified the title with the WCW International World Heavyweight Championship, which then ceased to exist.Aired on tape delay on May 14, 1994.",WWE,[3][4][16],3,WCW_World_Heavyweight_Championship,,
14,Hulk Hogan,"July 17, 1994",469,,,,Bash at the Beach,"Orlando, Florida",11,,WWE,[17][18][3][4],1,WCW_World_Heavyweight_Championship,,
15,The Giant,"October 29, 1995",8,,,,Halloween Havoc,"Detroit, Michigan",12,"This was a match in which the title could change hands via disqualification due to a contract clause. The Giant was declared winner by disqualification after Hulk Hogan's manager, Jimmy Hart, interfered, followed by attacks on Hogan from members of The Dungeon of Doom.",WWE,[19][3][4],1,WCW_World_Heavyweight_Championship,,
16,Vacated,"November 6, 1995",—,,,,Nitro,"Jacksonville, Florida",—,The Giant was stripped of the title due to the controversial finish of the Halloween Havoc match.,WWE,[19][3][4],—,WCW_World_Heavyweight_Championship,,
17,Randy Savage,"November 26, 1995",31,,,,World War 3,"Norfolk, Virginia",13,This was the first-ever World War 3 match. Savage last eliminated One Man Gang to win the vacant title.,WWE,[20][21][3][4],1,WCW_World_Heavyweight_Championship,,
18,Ric Flair,"December 27, 1995",26,,,,Starrcade: World Cup of Wrestling,"Nashville, Tennessee",14,,WWE,[22][23][3][4],4,WCW_World_Heavyweight_Championship,,
19,Randy Savage,"January 22, 1996",20,,,,Nitro,"Las Vegas, Nevada",15,,WWE,[24][3][4],2,WCW_World_Heavyweight_Championship,,
